"","A","B","C","D","E"
"1931","c","c","a","c","c"
"1932","a","a","a","a","c"
"1933","b","a","a","b","a"
"1934","a","a","a","c","b"
"1935","c","c","a","c","a"
"1936","c","c","c","c","c"
"1937","a","a","a","a","b"
"1938","b","c","a","c","c"
"1939","b","b","a","b","c"
"1940","a","a","a","a","c"
"1941","a","a","a","a","b"
"1942","c","c","c","c","a"
"1943","a","a","a","a","a"
"1944","a","a","a","a","b"
"1945","b","b","a","b","b"
"1946","c","c","a","c","c"
"1947","b","c","b","a","a"
"1948","c","c","a","b","c"
"1949","a","a","a","a","a"
"1950","b","a","a","b","a"
"1951","c","c","a","c","b"
"1952","b","b","b","a","b"
"1953","c","c","a","c","b"
"1954","b","c","b","a","b"
"1955","c","b","a","c","c"
"1956","b","a","a","b","c"
"1957","a","a","a","a","a"
"1958","a","c","a","a","a"
"1959","b","c","a","b","b"
"1960","b","a","a","a","a"
"1961","b","b","a","b","a"
"1962","a","a","a","a","a"
"1963","c","c","b","a","c"
"1964","a","a","a","a","a"
"1965","b","c","a","b","c"
"1966","a","a","a","b","c"
"1967","c","c","a","c","b"
"1968","a","a","b","c","a"
"1969","b","c","a","b","b"
"1970","b","c","b","a","c"
"1971","c","c","a","c","b"
"1972","c","c","a","c","a"
"1973","c","c","a","c","a"
"1974","c","c","b","a","b"
"1975","b","a","a","a","b"
"1976","a","c","a","a","b"
"1977","c","c","a","c","b"
"1978","b","c","a","b","a"
"1979","b","a","a","b","b"
"1980","c","c","a","c","a"
"1981","c","c","a","c","b"
"1982","a","a","a","a","b"
"1983","b","a","c","b","a"
"1984","b","c","a","a","b"
"1985","a","c","a","c","b"
"1986","a","a","a","a","a"
"1987","c","c","b","b","a"
"1988","c","c","a","c","b"
"1989","a","a","a","a","c"
"1990","b","c","a","b","a"
"1991","a","a","a","a","a"
"1992","a","a","a","a","a"
"1993","b","c","a","b","a"
"1994","a","a","a","a","a"
"1995","b","b","a","b","c"
"1996","c","c","a","b","b"
"1997","b","a","a","b","a"
"1998","c","a","a","b","a"
"1999","c","c","a","b","c"
"2000","b","c","b","a","b"
"2001","b","c","b","b","a"
"2002","b","c","a","b","b"
"2003","a","a","a","a","c"
"2004","c","c","a","c","c"
"2005","a","c","a","a","c"
"2006","a","a","b","a","a"
"2007","a","a","a","a","a"
"2008","b","c","b","a","c"
"2009","b","b","a","b","c"
"2010","a","a","a","a","c"
"2011","a","a","c","a","b"
"2012","a","c","b","c","c"
"2013","c","c","a","c","b"
"2014","c","c","b","a","c"
"2015","c","c","b","b","b"
"2016","b","c","a","b","a"
"2017","a","c","b","c","b"
"2018","a","a","a","a","a"
"2019","a","a","a","c","b"
"2020","c","c","a","c","c"
"2021","b","a","a","c","b"
"2022","b","a","a","b","a"
"2023","a","a","a","a","a"
"2024","a","a","a","a","b"
"2025","a","c","a","a","a"
"2026","a","a","a","b","a"
"2027","c","c","a","c","c"
"2028","b","a","a","b","a"
"2029","a","a","a","a","c"
"2030","c","c","a","c","b"
"2031","a","a","a","a","a"
"2032","a","a","b","c","b"
"2033","a","a","b","a","b"
"2034","b","c","a","b","b"
"2035","c","c","a","c","b"
"2036","c","c","a","c","a"
"2037","b","c","a","b","c"
"2038","a","a","a","a","a"
"2039","b","b","a","b","b"
"2040","c","c","a","c","b"
"2041","b","a","a","b","b"
"2042","c","c","c","b","a"
"2043","c","c","a","c","b"
"2044","a","a","a","b","b"
"2045","b","a","a","c","b"
"2046","c","c","a","c","a"
"2047","b","a","c","a","b"
"2048","c","c","b","c","c"
"2049","b","a","a","b","b"
"2050","a","a","b","c","a"
"2051","a","a","a","c","b"
"2052","c","c","a","c","b"
"2053","a","a","c","a","b"
"2054","c","c","a","c","b"
"2055","b","b","a","b","a"
"2056","a","a","a","a","b"
"2057","b","a","c","b","a"
"2058","a","a","a","c","a"
"2059","b","c","a","b","b"
"2060","b","a","a","b","c"
"2061","a","a","a","a","a"
"2062","c","c","b","c","c"
"2063","c","a","b","b","a"
"2064","a","a","a","a","a"
"2065","c","b","c","b","a"
"2066","a","a","b","b","a"
"2067","a","a","a","a","a"
"2068","b","a","a","b","a"
"2069","b","b","c","c","c"
"2070","a","a","a","b","b"
"2071","a","a","b","c","b"
"2072","a","a","b","c","a"
"2073","c","a","b","a","a"
"2074","c","b","a","c","b"
"2075","c","c","a","c","a"
"2076","c","c","b","c","b"
"2077","a","a","a","a","b"
"2078","b","b","a","b","a"
"2079","c","c","a","c","c"
"2080","b","b","b","a","b"
"2081","a","a","a","a","b"
"2082","c","c","a","c","c"
"2083","c","c","a","c","b"
"2084","a","a","a","a","a"
"2085","a","a","a","a","a"
"2086","c","c","a","c","c"
"2087","a","b","c","a","a"
"2088","c","c","a","c","c"
"2089","c","c","a","b","c"
"2090","b","b","a","b","c"
"2091","b","b","a","a","a"
"2092","a","a","a","a","b"
"2093","c","c","b","b","c"
"2094","a","a","a","a","b"
"2095","c","a","a","b","a"
"2096","c","c","a","c","b"
"2097","b","a","a","b","c"
"2098","a","a","c","a","a"
"2099","b","a","a","b","a"
"2100","b","a","a","b","b"
"2101","c","c","a","c","b"
"2102","b","b","a","b","a"
"2103","a","a","a","b","b"
"2104","c","c","a","c","c"
"2105","c","c","b","a","a"
"2106","b","c","a","a","c"
"2107","b","a","a","b","a"
"2108","b","c","a","b","c"
"2109","a","a","a","c","a"
"2110","b","a","c","b","b"
"2111","b","a","a","c","a"
"2112","c","c","b","a","c"
"2113","c","c","a","c","c"
"2114","b","a","a","b","a"
"2115","c","c","a","c","c"
"2116","b","c","a","b","b"
"2117","c","c","a","c","b"
"2118","c","c","a","c","a"
"2119","a","a","a","a","c"
"2120","c","b","a","c","c"
"2121","b","c","b","a","b"
"2122","c","c","a","c","c"
"2123","a","a","a","a","a"
"2124","c","c","a","c","a"
"2125","a","a","a","c","b"
"2126","c","b","b","b","b"
"2127","b","a","a","b","a"
"2128","c","c","a","c","c"
"2129","b","b","a","a","a"
"2130","a","a","a","c","b"
"2131","b","c","a","c","b"
"2132","a","a","a","c","c"
"2133","b","b","a","b","a"
"2134","c","c","a","c","c"
"2135","b","a","a","b","b"
"2136","b","c","a","b","c"
"2137","b","a","b","a","a"
"2138","a","a","a","c","a"
"2139","b","c","a","b","a"
"2140","c","c","a","c","c"
"2141","b","c","a","b","c"
"2142","a","b","b","b","c"
"2143","a","a","a","a","a"
"2144","c","c","a","c","c"
"2145","b","a","b","a","a"
"2146","c","c","a","c","c"
"2147","b","c","a","b","c"
"2148","c","c","a","c","c"
"2149","b","a","a","b","b"
"2150","a","a","a","b","b"
"2151","b","c","a","b","c"
"2152","a","a","a","c","a"
"2153","b","c","a","b","a"
"2154","a","a","a","a","a"
"2155","b","a","a","c","a"
"2156","a","a","a","a","c"
"2157","b","b","a","b","c"
"2158","c","c","a","b","c"
"2159","b","c","a","b","c"
"2160","b","b","a","b","b"
"2161","a","a","a","a","a"
"2162","c","a","a","c","a"
"2163","a","a","a","a","b"
"2164","c","c","b","a","c"
"2165","a","c","a","a","c"
"2166","a","a","a","a","a"
"2167","a","c","a","a","a"
"2168","b","c","a","b","c"
"2169","b","b","a","b","b"
"2170","b","a","a","b","c"
"2171","c","a","b","b","b"
"2172","b","a","a","b","c"
"2173","c","c","a","b","b"
"2174","a","a","a","a","b"
"2175","c","c","a","c","c"
"2176","c","c","a","c","c"
"2177","a","a","b","c","c"
"2178","b","c","a","b","c"
"2179","b","a","a","a","b"
"2180","b","a","a","b","c"
"2181","c","c","a","b","c"
"2182","a","c","b","c","c"
"2183","c","b","a","c","a"
"2184","b","b","c","a","c"
"2185","b","c","a","b","c"
"2186","c","c","a","c","c"
"2187","a","a","a","a","b"
"2188","c","c","a","c","b"
"2189","a","a","b","c","b"
"2190","a","b","a","a","a"
"2191","b","c","b","a","b"
"2192","b","a","a","b","a"
"2193","a","a","b","a","b"
"2194","a","c","a","a","c"
"2195","a","a","a","a","a"
"2196","c","c","a","b","c"
"2197","a","a","a","b","b"
"2198","b","b","b","a","c"
"2199","c","b","a","c","b"
"2200","b","b","b","a","c"
"2201","c","c","a","a","a"
"2202","a","a","a","b","b"
"2203","a","a","a","a","b"
"2204","a","a","b","a","a"
"2205","c","c","a","c","c"
"2206","a","b","c","a","c"
"2207","b","c","b","a","c"
"2208","c","c","b","c","c"
"2209","c","c","b","b","b"
"2210","b","a","a","a","a"
"2211","b","a","a","b","b"
"2212","b","c","b","a","c"
"2213","a","c","a","a","c"
"2214","a","a","a","a","b"
"2215","b","a","a","b","a"
"2216","a","a","a","a","a"
"2217","a","a","a","a","b"
"2218","c","c","a","c","a"
"2219","c","c","a","c","c"
"2220","a","a","a","a","a"
"2221","b","a","a","b","a"
"2222","a","a","a","a","a"
"2223","c","c","a","a","a"
"2224","c","c","a","b","c"
"2225","b","c","a","b","a"
"2226","b","c","a","b","b"
"2227","c","c","a","c","a"
"2228","c","c","b","b","c"
"2229","a","a","b","c","a"
"2230","c","a","a","c","b"
"2231","a","a","a","a","a"
"2232","c","a","a","c","a"
"2233","a","a","a","a","a"
"2234","b","c","a","b","c"
"2235","a","c","b","c","c"
"2236","b","c","a","b","b"
"2237","c","c","a","b","a"
"2238","a","a","a","a","a"
"2239","c","c","b","a","b"
"2240","a","a","b","c","a"
"2241","b","c","a","a","b"
"2242","a","c","a","a","b"
"2243","b","b","b","a","b"
"2244","a","a","a","a","a"
"2245","c","c","a","c","b"
"2246","a","a","c","a","a"
"2247","b","b","a","b","c"
"2248","b","a","a","b","a"
"2249","b","a","c","b","a"
"2250","a","a","b","c","a"
"2251","b","a","a","a","a"
"2252","b","a","b","a","a"
"2253","c","c","b","b","b"
"2254","c","a","b","b","a"
"2255","b","a","a","b","c"
"2256","a","a","a","a","b"
"2257","b","a","a","a","a"
"2258","c","c","a","c","c"
"2259","c","c","a","c","b"
"2260","c","c","b","c","a"
"2261","b","b","c","c","c"
"2262","a","a","b","c","b"
"2263","b","a","a","b","b"
"2264","a","a","b","c","b"
"2265","c","b","a","c","a"
"2266","a","a","a","a","a"
"2267","a","a","a","a","a"
"2268","a","a","b","a","a"
"2269","c","c","a","b","a"
"2270","a","c","a","a","c"
"2271","a","c","a","a","c"
"2272","c","c","a","c","c"
"2273","b","a","b","a","a"
"2274","b","c","b","c","c"
"2275","c","c","b","a","c"
"2276","b","a","a","c","b"
"2277","b","a","a","b","b"
"2278","c","a","a","c","a"
"2279","a","a","a","a","b"
"2280","a","a","b","b","a"
"2281","c","c","a","c","b"
"2282","b","a","a","b","a"
"2283","a","a","b","a","b"
"2284","c","c","a","c","c"
"2285","c","c","b","c","b"
"2286","a","a","a","a","b"
"2287","b","a","a","a","b"
"2288","a","c","a","a","b"
"2289","a","a","a","a","a"
"2290","b","b","a","b","c"
"2291","c","c","a","c","c"
"2292","c","c","a","c","c"
"2293","b","c","a","a","b"
"2294","c","c","a","c","b"
"2295","c","c","a","c","c"
"2296","c","c","a","c","b"
"2297","b","b","b","a","a"
"2298","a","a","a","c","a"
"2299","a","a","a","a","c"
"2300","a","a","a","a","c"
"2301","a","a","a","a","a"
"2302","a","a","a","a","b"
"2303","a","a","c","a","b"
"2304","b","b","a","c","c"
"2305","c","c","a","c","c"
"2306","b","c","a","b","c"
"2307","b","a","a","b","a"
"2308","b","a","a","b","b"
"2309","b","b","b","a","c"
"2310","b","a","a","b","b"
"2311","a","c","a","a","c"
"2312","b","c","b","a","a"
"2313","c","c","a","c","c"
"2314","b","b","a","c","b"
"2315","a","a","a","a","b"
"2316","b","b","a","b","c"
"2317","c","c","a","c","a"
"2318","c","c","a","b","b"
"2319","b","c","a","b","c"
"2320","c","c","a","c","c"
"2321","a","a","a","c","a"
"2322","b","b","a","c","c"
"2323","b","c","a","b","a"
"2324","b","a","b","a","b"
"2325","c","c","b","b","c"
"2326","c","a","a","c","b"
"2327","a","b","b","c","a"
"2328","b","c","a","b","c"
"2329","c","c","a","c","c"
"2330","a","a","a","a","a"
"2331","b","a","a","a","a"
"2332","b","b","b","a","c"
"2333","a","a","b","c","a"
"2334","c","a","a","c","b"
"2335","a","a","a","a","b"
"2336","b","b","a","b","c"
"2337","b","b","a","b","b"
"2338","c","a","a","c","c"
"2339","b","a","a","b","c"
"2340","a","a","a","b","a"
"2341","c","b","a","c","c"
"2342","c","c","b","b","c"
"2343","c","c","a","a","c"
"2344","b","c","a","b","b"
"2345","c","c","a","c","a"
"2346","b","c","b","a","c"
"2347","c","b","a","a","b"
"2348","b","a","a","b","b"
"2349","a","a","a","a","a"
"2350","b","c","a","b","b"
"2351","c","c","a","c","c"
"2352","a","a","a","a","a"
"2353","c","c","b","a","a"
"2354","c","c","a","c","c"
"2355","c","c","a","b","c"
"2356","b","c","a","b","a"
"2357","a","a","a","b","a"
"2358","b","b","b","a","c"
"2359","c","c","b","c","a"
"2360","c","c","a","c","b"
"2361","c","c","a","b","c"
"2362","c","c","a","c","c"
"2363","a","a","a","a","a"
"2364","b","a","a","a","a"
"2365","a","a","a","a","c"
"2366","a","b","a","a","a"
"2367","a","a","a","a","b"
"2368","a","c","a","a","c"
"2369","c","a","a","b","a"
"2370","b","a","a","b","b"
"2371","a","a","a","a","b"
"2372","a","a","a","b","a"
"2373","a","a","a","b","a"
"2374","c","b","a","c","a"
"2375","c","c","a","c","c"
"2376","c","c","a","c","c"
"2377","b","c","a","b","b"
"2378","c","c","a","c","c"
"2379","c","c","a","b","c"
"2380","b","a","a","b","a"
"2381","b","a","a","c","a"
"2382","b","b","a","a","a"
"2383","a","a","a","a","b"
"2384","a","a","c","b","a"
"2385","c","c","a","c","b"
"2386","a","a","a","a","a"
"2387","a","a","c","c","c"
"2388","b","a","c","c","a"
"2389","c","c","c","b","c"
"2390","b","a","a","b","a"
"2391","a","b","a","a","b"
"2392","b","c","a","b","c"
"2393","a","a","a","c","a"
"2394","b","a","a","b","a"
"2395","b","c","a","b","c"
"2396","c","c","a","c","b"
"2397","a","a","a","a","b"
"2398","a","a","a","a","a"
"2399","b","b","a","b","b"
"2400","b","a","b","a","b"
"2401","a","a","a","a","a"
"2402","b","c","a","b","c"
"2403","c","c","a","c","c"
"2404","b","a","b","a","c"
"2405","c","c","a","a","c"
"2406","a","a","a","a","a"
"2407","a","a","a","b","b"
"2408","c","c","a","c","a"
"2409","c","c","a","c","b"
"2410","c","c","a","c","b"
"2411","c","c","a","b","c"
"2412","b","b","a","c","b"
"2413","c","c","b","b","c"
"2414","a","a","b","c","c"
"2415","a","a","a","a","b"
"2416","a","a","a","a","c"
"2417","b","b","b","a","b"
"2418","b","a","a","b","a"
"2419","c","c","b","a","b"
"2420","c","c","a","b","b"
"2421","a","c","a","a","b"
"2422","c","c","c","b","c"
"2423","a","a","b","c","b"
"2424","b","c","a","c","a"
"2425","a","a","c","c","a"
"2426","a","a","a","a","a"
"2427","a","b","a","a","a"
"2428","a","a","a","a","a"
"2429","c","c","a","c","b"
"2430","a","a","a","a","a"
"2431","b","a","a","b","a"
"2432","a","a","b","c","a"
"2433","b","a","a","b","a"
"2434","b","b","b","c","c"
"2435","c","c","a","c","c"
"2436","a","a","a","a","b"
"2437","b","a","a","b","c"
"2438","c","a","b","a","a"
"2439","a","a","b","a","a"
"2440","a","a","c","a","b"
"2441","b","a","a","b","a"
"2442","c","c","a","a","c"
"2443","c","c","b","c","c"
"2444","c","c","a","c","c"
"2445","c","c","a","c","c"
"2446","a","a","a","b","b"
"2447","b","c","a","b","c"
"2448","c","c","c","c","b"
"2449","b","c","a","b","c"
"2450","c","c","a","c","b"
"2451","c","a","a","c","a"
"2452","b","a","b","a","a"
"2453","c","c","a","b","b"
"2454","a","a","b","c","a"
"2455","b","a","a","b","a"
"2456","b","a","a","c","a"
"2457","c","c","a","c","a"
"2458","a","a","a","a","a"
"2459","a","a","a","b","a"
"2460","b","c","a","b","a"
"2461","c","c","a","c","a"
"2462","b","a","a","b","a"
"2463","b","b","a","b","b"
"2464","a","a","a","c","a"
"2465","c","a","a","b","a"
"2466","c","c","a","c","c"
"2467","a","a","a","a","c"
"2468","c","a","a","b","a"
"2469","c","c","b","b","a"
"2470","b","c","a","b","c"
"2471","b","a","c","b","a"
"2472","a","a","b","c","a"
"2473","c","b","a","c","c"
"2474","c","c","a","a","b"
"2475","c","c","a","c","b"
"2476","a","a","a","a","a"
"2477","c","c","b","b","a"
"2478","a","a","c","a","b"
"2479","b","c","a","c","a"
"2480","c","c","c","b","a"
"2481","b","a","b","a","a"
"2482","a","a","a","a","a"
"2483","a","a","a","b","c"
"2484","b","a","a","b","a"
"2485","c","b","c","c","b"
"2486","b","a","a","b","b"
"2487","b","c","a","b","c"
"2488","a","a","a","a","a"
"2489","a","a","a","a","a"
"2490","b","c","a","b","c"
"2491","b","b","a","b","b"
"2492","a","a","a","a","a"
"2493","a","a","a","b","b"
"2494","a","a","b","c","c"
"2495","c","c","b","a","b"
"2496","b","b","a","b","b"
"2497","c","a","b","a","c"
"2498","b","c","a","b","c"
"2499","a","a","a","a","a"
"2500","c","c","a","b","b"
"2501","b","c","a","c","c"
"2502","b","a","b","a","b"
"2503","b","b","b","a","c"
"2504","a","c","b","b","c"
"2505","c","a","a","b","a"
"2506","b","c","a","c","c"
"2507","b","b","a","b","c"
"2508","b","a","a","b","a"
"2509","b","c","b","a","b"
"2510","c","c","a","c","b"
"2511","a","c","a","c","a"
"2512","b","c","b","a","b"
"2513","b","b","a","b","c"
"2514","b","c","a","b","c"
"2515","b","c","a","c","b"
"2516","a","a","a","a","a"
"2517","b","a","c","b","a"
"2518","a","c","a","a","b"
"2519","b","c","a","b","c"
"2520","a","a","a","a","b"
"2521","c","c","a","b","a"
"2522","b","a","a","b","a"
"2523","a","c","a","a","c"
"2524","a","c","b","c","c"
"2525","c","c","b","a","b"
"2526","a","a","a","a","c"
"2527","c","a","a","a","a"
"2528","c","c","a","c","a"
"2529","c","c","a","c","b"
"2530","b","a","a","b","a"
"2531","a","a","b","c","a"
"2532","b","c","a","b","c"
"2533","c","c","b","c","c"
"2534","b","a","a","b","a"
"2535","b","a","b","a","b"
"2536","c","c","a","b","b"
"2537","a","a","a","a","b"
"2538","c","c","a","c","a"
"2539","b","b","a","b","a"
"2540","b","b","a","b","c"
"2541","a","a","b","c","a"
"2542","b","c","a","b","a"
"2543","c","c","b","b","c"
"2544","c","c","a","b","c"
"2545","a","a","a","a","b"
"2546","b","a","b","a","a"
"2547","b","c","b","b","c"
"2548","c","c","a","c","b"
"2549","a","a","b","a","b"
"2550","a","a","a","a","b"
"2551","b","c","a","b","a"
"2552","b","a","a","b","a"
"2553","a","a","a","a","a"
"2554","c","a","a","c","a"
"2555","c","c","b","a","c"
"2556","a","a","a","a","b"
"2557","c","c","a","c","c"
"2558","b","a","a","b","c"
"2559","a","c","b","c","b"
"2560","b","a","b","a","a"
"2561","a","a","a","c","a"
"2562","a","a","b","c","b"
"2563","b","c","a","b","a"
"2564","a","a","c","a","a"
"2565","c","c","a","a","c"
"2566","b","c","a","b","b"
"2567","b","a","a","a","a"
"2568","c","c","a","b","c"
"2569","b","a","a","b","a"
"2570","c","c","a","b","c"
"2571","a","a","a","b","b"
"2572","c","b","a","c","c"
"2573","c","c","a","c","c"
"2574","b","a","a","b","b"
"2575","a","a","a","a","a"
"2576","b","a","a","c","b"
"2577","a","a","b","b","a"
"2578","c","c","a","c","b"
"2579","a","c","a","b","b"
"2580","b","a","a","c","a"
"2581","a","a","a","a","b"
"2582","c","c","a","b","c"
"2583","c","c","a","c","c"
"2584","c","c","a","c","c"
"2585","a","c","a","a","c"
"2586","c","c","a","b","c"
"2587","a","a","a","a","a"
"2588","b","a","a","b","c"
"2589","c","c","a","c","c"
"2590","b","c","a","b","c"
"2591","b","a","a","c","a"
"2592","a","a","a","b","a"
"2593","b","c","a","b","b"
"2594","c","c","a","a","b"
"2595","b","c","b","a","c"
"2596","c","c","a","c","c"
"2597","a","b","a","a","c"
"2598","c","c","b","c","a"
"2599","b","c","c","a","c"
"2600","b","c","a","b","b"
"2601","a","a","a","a","a"
"2602","b","c","c","a","a"
"2603","c","c","a","c","c"
"2604","a","a","a","a","a"
"2605","b","b","a","b","c"
"2606","c","c","a","c","a"
"2607","b","c","b","a","b"
"2608","a","a","c","c","b"
"2609","b","c","a","b","c"
"2610","c","c","a","b","b"
"2611","b","c","a","b","b"
"2612","c","c","b","b","a"
"2613","c","c","a","c","b"
"2614","b","a","b","b","a"
"2615","b","a","b","a","c"
"2616","c","c","a","c","c"
"2617","b","a","a","c","a"
"2618","c","c","a","a","a"
"2619","c","c","a","c","c"
"2620","c","c","a","c","c"
"2621","b","c","b","c","b"
"2622","a","a","a","a","a"
"2623","a","a","a","a","a"
"2624","a","a","a","a","c"
"2625","a","a","a","a","c"
"2626","b","a","a","b","a"
"2627","a","a","a","a","a"
"2628","a","a","a","a","c"
"2629","a","a","a","a","a"
"2630","a","a","c","c","a"
"2631","c","c","a","c","b"
"2632","c","c","b","b","c"
"2633","c","c","a","c","a"
"2634","c","c","a","c","c"
"2635","a","a","a","c","b"
"2636","a","a","a","a","b"
"2637","a","a","a","b","a"
"2638","a","a","b","c","a"
"2639","c","b","b","b","c"
"2640","c","c","a","c","b"
"2641","b","c","a","b","c"
"2642","b","b","a","b","c"
"2643","a","a","a","a","b"
"2644","c","c","a","c","a"
"2645","c","c","a","c","c"
"2646","c","c","a","c","c"
"2647","c","c","a","b","b"
"2648","a","a","a","a","b"
"2649","a","a","a","b","b"
"2650","b","c","a","b","b"
"2651","c","c","a","a","b"
"2652","c","c","c","c","b"
"2653","a","a","a","c","a"
"2654","b","a","a","b","a"
"2655","b","c","a","b","a"
"2656","c","c","a","c","b"
"2657","b","b","a","b","b"
"2658","a","c","a","a","c"
"2659","c","c","a","c","a"
"2660","a","a","a","a","b"
"2661","a","a","a","a","b"
"2662","b","a","a","a","b"
"2663","b","a","a","b","a"
"2664","a","a","b","a","a"
"2665","c","c","b","b","b"
"2666","b","b","b","c","c"
"2667","c","c","b","c","c"
"2668","c","c","a","c","a"
"2669","a","a","a","a","a"
"2670","c","b","a","c","b"
"2671","a","a","a","b","a"
"2672","c","c","a","c","a"
"2673","c","c","a","c","b"
"2674","c","c","a","c","c"
"2675","c","c","a","c","c"
"2676","a","a","a","b","a"
"2677","b","c","a","b","c"
"2678","b","a","a","b","a"
"2679","b","a","b","a","a"
"2680","b","a","a","b","a"
"2681","a","c","a","a","c"
"2682","a","c","a","a","c"
"2683","c","b","a","c","b"
"2684","c","c","a","c","c"
"2685","a","a","a","a","b"
"2686","c","a","a","a","b"
"2687","b","c","c","b","b"
"2688","a","a","b","c","c"
"2689","b","b","a","c","b"
"2690","a","c","a","a","c"
"2691","c","b","a","c","c"
"2692","a","a","a","a","a"
"2693","a","c","a","a","b"
"2694","a","a","a","a","a"
"2695","a","a","a","a","a"
"2696","a","a","a","a","b"
"2697","c","c","a","c","a"
"2698","a","a","a","b","b"
"2699","c","c","b","a","c"
"2700","c","c","b","b","c"
"2701","b","c","a","b","c"
"2702","c","c","a","c","a"
"2703","c","c","b","b","c"
"2704","c","c","a","a","b"
"2705","b","c","a","b","b"
"2706","a","a","a","a","b"
"2707","b","a","a","b","a"
"2708","c","c","a","b","b"
"2709","c","c","a","b","b"
"2710","c","c","a","c","b"
"2711","c","c","a","c","c"
"2712","b","a","b","a","a"
"2713","b","b","a","b","a"
"2714","a","a","a","a","a"
"2715","a","a","b","c","b"
"2716","c","c","a","c","c"
"2717","b","b","a","b","a"
"2718","a","a","a","b","a"
"2719","c","c","a","c","a"
"2720","b","c","a","b","c"
"2721","a","a","a","a","b"
"2722","a","a","a","a","a"
"2723","a","a","a","a","b"
"2724","c","c","a","b","b"
"2725","c","c","a","c","b"
"2726","a","a","a","c","a"
"2727","b","a","a","b","b"
"2728","c","c","c","c","b"
"2729","b","a","a","b","a"
"2730","b","b","a","b","c"
"2731","a","c","a","a","c"
"2732","c","a","a","c","a"
"2733","c","c","a","c","c"
"2734","a","a","a","a","a"
"2735","b","c","a","a","a"
"2736","c","a","a","b","a"
"2737","b","c","a","b","c"
"2738","a","a","b","c","c"
"2739","a","a","a","a","a"
"2740","b","a","b","a","a"
"2741","c","c","a","a","c"
"2742","a","a","a","b","b"
"2743","c","c","c","b","c"
"2744","a","a","b","c","a"
"2745","c","c","a","c","c"
"2746","c","c","a","a","b"
"2747","a","a","b","b","a"
"2748","a","a","b","c","b"
"2749","b","a","a","b","b"
"2750","a","a","a","b","a"
"2751","a","c","a","a","a"
"2752","a","c","a","a","a"
"2753","c","c","a","b","c"
"2754","a","a","a","a","a"
"2755","b","a","a","b","b"
"2756","c","c","a","c","a"
"2757","c","c","a","c","a"
"2758","b","a","a","b","a"
"2759","c","c","c","c","a"
"2760","c","b","a","c","a"
"2761","a","a","b","c","a"
"2762","a","a","a","a","a"
"2763","a","a","a","a","a"
"2764","b","c","a","b","b"
"2765","b","a","a","b","a"
"2766","b","a","a","b","c"
"2767","b","a","a","b","b"
"2768","c","c","a","c","b"
"2769","b","b","a","b","b"
"2770","c","b","a","c","b"
"2771","b","a","a","b","a"
"2772","c","a","a","c","a"
"2773","c","c","b","c","b"
"2774","a","a","b","c","b"
"2775","a","a","a","a","a"
"2776","b","c","a","b","b"
"2777","a","c","a","a","c"
"2778","c","c","a","c","c"
"2779","a","c","a","a","b"
"2780","a","c","a","a","a"
"2781","c","c","a","c","c"
"2782","a","a","a","a","a"
"2783","a","c","b","c","b"
"2784","a","a","a","c","c"
"2785","c","c","a","c","c"
"2786","c","c","a","c","c"
"2787","a","a","a","a","b"
"2788","c","c","a","c","b"
"2789","b","c","a","b","c"
"2790","c","c","b","b","a"
"2791","b","c","a","b","c"
"2792","a","a","a","c","a"
"2793","a","c","a","c","a"
"2794","a","a","a","a","a"
"2795","a","a","a","a","a"
"2796","b","c","b","c","b"
"2797","b","a","b","a","a"
"2798","c","a","a","c","a"
"2799","a","a","a","a","b"
"2800","b","a","a","b","a"
"2801","b","c","a","b","c"
"2802","c","c","c","a","a"
"2803","a","a","a","a","a"
"2804","c","c","a","c","c"
"2805","a","a","a","a","a"
"2806","a","c","a","a","b"
"2807","c","b","a","c","c"
"2808","c","b","a","c","a"
"2809","b","c","a","c","c"
"2810","c","c","a","c","b"
"2811","c","c","a","c","c"
"2812","a","a","c","a","c"
"2813","a","a","a","a","c"
"2814","a","a","a","a","a"
"2815","b","a","a","c","b"
"2816","b","c","b","a","c"
"2817","a","a","a","a","a"
"2818","c","c","a","c","c"
"2819","a","a","c","b","a"
"2820","a","a","a","a","a"
"2821","a","a","a","a","a"
"2822","a","a","a","a","b"
"2823","c","c","a","c","a"
"2824","a","a","a","a","a"
"2825","a","c","a","b","c"
"2826","a","a","a","b","a"
"2827","b","a","a","c","a"
"2828","b","c","a","b","c"
"2829","c","c","a","b","b"
"2830","c","c","a","c","a"
"2831","a","c","a","a","a"
"2832","a","a","a","a","a"
"2833","b","a","a","b","b"
"2834","a","a","b","c","a"
"2835","c","b","a","c","c"
"2836","a","a","a","a","b"
"2837","c","c","a","c","a"
"2838","b","c","a","b","c"
"2839","b","a","a","b","b"
"2840","a","a","a","a","c"
"2841","a","b","b","c","c"
"2842","c","b","a","c","b"
"2843","b","b","a","b","a"
"2844","c","c","c","a","b"
"2845","c","c","a","c","b"
"2846","a","a","a","a","a"
"2847","c","c","a","c","c"
"2848","a","c","b","c","c"
"2849","b","a","a","c","a"
"2850","b","a","b","a","a"
"2851","c","c","a","c","b"
"2852","a","a","a","a","a"
"2853","a","a","a","b","a"
"2854","a","c","b","c","a"
"2855","b","a","a","b","a"
"2856","a","c","a","a","c"
"2857","a","a","a","a","a"
"2858","c","a","a","c","a"
"2859","b","a","c","b","a"
"2860","b","b","a","b","a"
"2861","a","a","a","a","a"
"2862","b","c","a","b","c"
